experiment_id,channel,no_clear_event,start_time_min,start_temp_c,maximum_time_min,maximum_temp_c,end_time_min,end_temp_c,notes
EJ44B1,TC10,False,1120.116667,-17.9,1122.45,-10.6,1130.466667,-11.4,
EJ44B1,TC11,False,172.9,-17.9,175.15,-10.8,183.416667,-11.7,
EJ44B1,TC12,False,759.133333,-19.0,761.05,-13.2,769.733333,-13.9,
EJ44B1,TC13,True,,,,,,,no clear cooling event
EJ44B1,TC14,True,,,,,,,no clear cooling event
EJ44B1,TC15,False,357.316667,-18.5,359.483333,-12.0,367.583333,-13.0,
EJ44B1,TC16,False,988.633333,-18.3,990.966667,-13.5,1000.15,-14.1,
EJ45B1,TC1,False,227.683333,-17.9,230.6,-11.5,238.783333,-12.4,
EJ45B1,TC2,False,119.733333,-15.7,121.65,-11.9,132.833333,-12.9,
EJ45B1,TC3,False,317.433333,-17.7,319.516667,-15.8,329.45,-16.2,
EJ45B1,TC4,False,192.2,-18.3,193.533333,-10.4,202.633333,-11.7,
EJ45B1,TC5,False,370.7,-18.2,372.95,-12.5,381.8,-13.4,
EJ45B1,TC6,False,331.033333,-18.4,332.866667,-13.8,341.883333,-14.1,
EJ45B1,TC7,False,303.733333,-18.0,305.5,-12.3,314.433333,-12.7,
EJ45B1,TC8,False,779.266667,-18.8,781.2,-11.8,789.116667,-12.8,
EJ45B1,TC9,False,687.433333,-18.5,689.183333,-12.0,699.55,-13.2,
EJ45B1,TC10,False,297.816667,-17.2,299.9,-10.3,308.416667,-11.4,
EJ45B1,TC11,False,370.7,-18.2,372.533333,-10.9,380.8,-11.9,
EJ45B1,TC12,False,1160.633333,-18.6,1162.483333,-13.1,1170.916667,-13.9,
EJ45B1,TC13,False,210.066667,-18.6,211.983333,-11.5,220.25,-12.5,
EJ45B1,TC14,False,287.633333,-18.6,289.466667,-10.2,297.566667,-11.2,
EJ45B1,TC15,False,780.1,-18.9,782.116667,-12.3,789.866667,-13.1,
EJ45B1,TC16,False,331.7,-18.8,334.133333,-13.9,343.066667,-14.3,
EJ46B1,TC1,False,887.6,-18.2,889.45,-11.8,898.383333,-12.6,
EJ46B1,TC2,False,475.533333,-18.5,477.783333,-13.8,486.8,-14.1,
EJ46B1,TC3,False,869.5,-18.7,871.5,-16.3,879.6,-16.1,
EJ46B1,TC4,False,338.45,-18.7,340.366667,-12.9,349.966667,-13.4,
EJ46B1,TC5,True,,,,,,,no clear cooling event
EJ46B1,TC6,False,453.066667,-18.4,455.233333,-13.6,464.166667,-14.3,
EJ46B1,TC7,False,270.566667,-18.8,272.983333,-13.8,281.166667,-13.9,
EJ46B1,TC8,True,,,,,,,no clear cooling event
EJ46B1,TC9,False,316.566667,-18.5,318.483333,-12.2,326.833333,-13.2,
EJ46B1,TC10,False,435.866667,-18.4,437.883333,-11.0,445.633333,-11.8,
EJ46B1,TC11,False,149.183333,-17.3,151.6,-10.9,160.616667,-11.9,
EJ46B1,TC12,False,168.8,-17.5,170.883333,-14.5,180.983333,-15.1,
EJ46B1,TC13,False,258.466667,-18.9,260.633333,-11.8,268.816667,-13.0,
EJ46B1,TC14,False,298.283333,-18.2,300.133333,-10.4,308.883333,-11.7,
EJ46B1,TC15,False,211.8,-18.1,214.05,-13.1,223.316667,-13.6,
EJ46B1,TC16,False,195.766667,-18.6,198.683333,-15.5,207.616667,-15.7,
EJ47B1,TC1,False,1664.85,-18.2,1667.516667,-11.7,1674.95,-12.6,
EJ47B1,TC2,False,863.983333,-18.5,866.316667,-13.8,874.916667,-14.0,
EJ47B1,TC3,False,2051.366667,-18.1,2053.3,-15.7,2061.3,-16.0,
EJ47B1,TC4,False,1045.983333,-18.6,1047.733333,-11.4,1057.25,-12.3,
EJ47B1,TC5,False,317.833333,-18.5,320.416667,-12.4,328.85,-13.4,
EJ47B1,TC6,False,2658.15,-18.8,2659.983333,-14.4,2668.5,-14.4,
EJ47B1,TC7,False,179.566667,-16.9,181.916667,-12.4,191.766667,-13.4,
EJ47B1,TC8,False,285.1,-18.3,287.35,-12.1,295.7,-12.7,
EJ47B1,TC9,False,955.066667,-18.3,957.5,-12.1,966.083333,-13.3,
EJ47B1,TC10,False,473.183333,-18.7,475.45,-11.1,483.3,-11.6,
EJ47B1,TC11,False,171.983333,-17.5,174.566667,-10.6,183.166667,-11.5,
EJ47B1,TC12,False,596.666667,-18.9,599.166667,-14.3,608.016667,-14.5,
EJ47B1,TC13,False,431.283333,-18.3,433.95,-11.2,442.05,-12.8,
EJ47B1,TC14,False,736.666667,-18.6,738.916667,-10.1,746.85,-11.1,
EJ47B1,TC15,False,246.616667,-18.3,248.616667,-12.3,257.3,-13.3,
EJ47B1,TC16,False,191.766667,-18.0,194.35,-14.2,204.033333,-14.7,
EJ48B1,TC1,True,,,,,,,no clear cooling event
EJ48B1,TC2,True,,,,,,,no clear cooling event
EJ48B1,TC3,True,,,,,,,no clear cooling event
EJ48B1,TC4,False,338.966667,-18.3,343.05,-10.5,352.566667,-11.6,
EJ48B1,TC5,False,145.1,-17.0,147.783333,-11.0,156.883333,-11.8,
EJ48B1,TC6,True,,,,,,,no clear cooling event
EJ48B1,TC7,False,320.85,-18.8,325.6,-13.3,333.033333,-13.4,
EJ48B1,TC8,False,140.933333,-16.9,142.933333,-10.7,152.783333,-11.7,
EJ48B1,TC9,True,,,,,,,no clear cooling event
EJ48B1,TC10,True,,,,,,,no clear cooling event
EJ48B1,TC11,True,,,,,,,no clear cooling event
EJ48B1,TC12,False,285.866667,-18.5,287.533333,-13.4,296.883333,-14.0,
EJ48B1,TC13,False,233.183333,-18.3,234.766667,-11.4,243.7,-13.0,
EJ48B1,TC14,True,,,,,,,no clear cooling event
EJ48B1,TC15,True,,,,,,,no clear cooling event
EJ48B1,TC16,True,,,,,,,no clear cooling event
